직무_추정,URL_키워드_매칭_공고수,기술_Top5,기술_Top10,분류_방식,주의사항
QA/테스트 개발자,4089,Quality Assurance; Communication; Leadership; Teamwork; Python,Quality Assurance; Communication; Leadership; Teamwork; Python; Problem Solving; Data Analysis; Engineering; Troubleshooting; Project Management,job_link URL 키워드 기반 추정,직무명 원컬럼이 없어 정확한 공고 수가 아니라 참고용 추정치임
풀스택 개발자,2348,JavaScript; Java; AWS; SQL; Python,JavaScript; Java; AWS; SQL; Python; TypeScript; Docker; Kubernetes; React; Go,job_link URL 키워드 기반 추정,직무명 원컬럼이 없어 정확한 공고 수가 아니라 참고용 추정치임
보안 전문가,2199,Cybersecurity; Information Security; CISSP; Incident Response; AWS,Cybersecurity; Information Security; CISSP; Incident Response; AWS; Penetration Testing; Vulnerability Management; Risk Management; Network Security; Communication,job_link URL 키워드 기반 추정,직무명 원컬럼이 없어 정확한 공고 수가 아니라 참고용 추정치임
백엔드 개발자,2117,Java; AWS; Python; SQL; Kubernetes,Java; AWS; Python; SQL; Kubernetes; Docker; Go; Scala; Agile; Node.js,job_link URL 키워드 기반 추정,직무명 원컬럼이 없어 정확한 공고 수가 아니라 참고용 추정치임
DevOps/인프라 엔지니어,1994,Python; Kubernetes; Terraform; DevOps; AWS,Python; Kubernetes; Terraform; DevOps; AWS; Docker; Ansible; Jenkins; Java; Linux,job_link URL 키워드 기반 추정,직무명 원컬럼이 없어 정확한 공고 수가 아니라 참고용 추정치임
프론트엔드 개발자,1804,JavaScript; Teamwork; React; Communication; Merchandising,JavaScript; Teamwork; React; Communication; Merchandising; Training; Customer service; CSS; Onboarding; Operations,job_link URL 키워드 기반 추정,직무명 원컬럼이 없어 정확한 공고 수가 아니라 참고용 추정치임
데이터 엔지니어,1753,Python; SQL; Spark; Data Engineering; Java,Python; SQL; Spark; Data Engineering; Java; AWS; Scala; Snowflake; Hadoop; Kafka,job_link URL 키워드 기반 추정,직무명 원컬럼이 없어 정확한 공고 수가 아니라 참고용 추정치임
AI/ML 엔지니어,1064,Python; Machine Learning; PyTorch; TensorFlow; AWS,Python; Machine Learning; PyTorch; TensorFlow; AWS; Java; Deep Learning; Azure; Communication; Scala,job_link URL 키워드 기반 추정,직무명 원컬럼이 없어 정확한 공고 수가 아니라 참고용 추정치임
데이터 사이언티스트,1032,Python; Data Science; SQL; Machine Learning; R,Python; Data Science; SQL; Machine Learning; R; Statistics; Data Visualization; Communication; Tableau; Spark,job_link URL 키워드 기반 추정,직무명 원컬럼이 없어 정확한 공고 수가 아니라 참고용 추정치임
모바일 개발자,645,Kotlin; Android; Swift; Java; Agile,Kotlin; Android; Swift; Java; Agile; iOS; MVVM; Communication; Git; Software Engineering,job_link URL 키워드 기반 추정,직무명 원컬럼이 없어 정확한 공고 수가 아니라 참고용 추정치임
